Nama_hotel;User_Rating;Review;
Four Star by Trans Hotel;10;Tertarik dengan kondisi yang menarik;
Four Star by Trans Hotel;9.1;Kedua kali-nya nginap di sini. Staf cukup ramah dan membantu. Suasana kamar baik, hanya saja kamar mandi sudah harus di deep cleaning ya, sudah banyak noda sana sini. Kamar juga berdebu karena saya alergi debu jadi sangat kerasa debunya. Breakfast cukup baik, makanan ok, cepat di refill.;
Four Star by Trans Hotel;10;Baik dan semuanya ramah sangat membantu dan sangat cepat respon pelayanannya sangat baik;
Four Star by Trans Hotel;8.8;Menginap selama 4 hari overall good. Akses kemana-mana dekat, breakfast-nya bervariasi.;
Four Star by Trans Hotel;8.5;Depan Plaza Renon persis. Akses dekat tengah kota Renon. Makanan enak.;
Four Star by Trans Hotel;6.5;"Jangan terlalu high expectation dengan ""trans""-nya ya. Karena hotel ini kebersihan-nya 4/10. Kamar mandi-nya kusam, toilet-nya kusam & kotor, wastafel juga. Lantai kamar juga berdebu banget. Terus kain penutup bed bagian bawah super kotor. Handuk bukan yang putih bersih empuk. Linen sprei pun begitu.";
Four Star by Trans Hotel;9.7;utk istirahat tenang memang cocok nginep disini ga bising kamar luas dan bersih. pelayan staff ramah2 hanya kurang variasi makanannya saja. so far so good. ;
Four Star by Trans Hotel;9.7;"Pelayanan top. kamar dan area hotel bersih. staf ramah dan helpful. lokasi di tengah kota. dekat kemana-mana. aktivitas pas Nyepi juga beragam banyak pilihan. Kolam renang kurang besar. Sarapan bisa lebih variatif lagi dan taste nya ditingkatkan.""";
Four Star by Trans Hotel;6.1;Di kamar ada kecoanya. Tisu di toilet tidak di isi di hari kedua dan kamar mandi tergolong tidak bersih selain itu kamarnya kecil banget sempat buka 2 kamar yg 1 lebih besar tidak mengerti kenapa untuk 1 jenis kamar yg sama bisa memiliki 2 luasan kamar yg berbeda. Hari ke tiga Di atas kamar berisik sekali seperti ada orang lari2 di lantai atas setelah di infokan di front office infonya sedang ada acara. Staf parkir terbatas sehingga untuk valey cukup lama....tidak menemukan bellboy yang membantu angkat koper dari mobil. Lokasi strategis. Semoga management bisa cepat berbenah;
Four Star by Trans Hotel;9.1;Makanan dan fasilitasnya bagus. Pelayanannya bagus dan stafnya ramah.;
Four Star by Trans Hotel;8.6;Lokasi strategis di pinggir jalan raya. Menginap hanya untuk transit, tiba sudah malam dan pagi langsung check out.;
Four Star by Trans Hotel;8.3;Debu di sudut sudut kamar jelas terlihat. Untuk ukuran hotel bintang 4 harusnya bisa lebih bersih sih. Dan 4 hari 3 malam nginep di hotel ini menu sarapannya sama. Nggak bervariasi dan rasanya agak bad.;
Four Star by Trans Hotel;8.5;It was great. I stayed at Four Star Hotel. tp ada hewan spt kecoa kecil di dekat horden dan meja penyimpanan gelas dan kamar mandi;
Four Star by Trans Hotel;10;Stafnya ramah dan membantu! Lokasi bagus! Kamar bersih! Kami mengalami masalah dengan listrik di kamar. tetapi teknisi memperbaikinya dengan cepat! Terima kasih;
Four Star by Trans Hotel;8.5;Kamar bersih. makanan juga lumayan. restoran bagus. pelayanan ramah.;
Four Star by Trans Hotel;10;"Setiap ke Bali pasti menginap di sini. Pelayanan, fasilitas, dan lokasi sangat strategis. Pokoknya the best""";
Four Star by Trans Hotel;9.4;"Pelayanan staf sangat baik, tempat tidur nyaman, kamar mandi berfungsi dan bersih, pasti akan kembali ke sini lagi.""";
Four Star by Trans Hotel;8.2;Kalo lokasi gampang karena ada di jalan besar tapi kebetulan dapat kamar ternyata di tengah ada jendela tapi ternyata hadap ke ruangan sejati kamar lain jadi kaya pengap kamar mandi kebersihan nya kurang kalo untuk semalam ok lah tp kalo untuk stay lebih masih banyak pilihan lain;
Four Star by Trans Hotel;10;Stafnya sangat ramah. Lokasinya bagus;
Four Star by Trans Hotel;10;Penginapan sangat nyaman dan staf hotel sangat santun menerima tamu;
Hotel Neo Denpasar by ASTON;10;Hotel lama, namun masih ter-maintain dengan baik. Untuk harga dengan kamar yang didapat, sangat worthy. Frontliner dibantu oleh Kak Rafael, sangat helpful. So far kamar nyaman, ac ok, kebersihan OK. Mungkin kamar mandi yang tamu (tidak di dalam kamar) yang kurang wangi. But overall good.;
Hotel Neo Denpasar by ASTON;10;Menyenangkan dan bisa kembali lagi kalo nanti berkunjung ke pulau Bali. Tingkatkan terus yang sudah baik. Terima kasih;
Hotel Neo Denpasar by ASTON;10;Sering menginap di sini dan selalu menyenangkan. Semoga pelayanan dan kebersihan selalu dijaga dan ditetapkan. Apalagi Bali pusat wisata. Kalau ke Bali lagi mungkin menginap di sini juga. Terima kasih.;
Hotel Neo Denpasar by ASTON;9.1;hotelnya bagus, sesuai standar Neo dan bersih;
